"City","Code"
"Fatehpur-Ii","05183"
"Fazilka","01638"
"Ferojpur Jhirka","01268"
"Ferozabad","05612"
"Ferozepur","01632"
"Fingeshwar","07701"
"Forbesganj","06455"
"Fortsongadh","02624"
"G. Udayagiri","06847"
"Gadarwara","07791"
"Gadhada","02847"
"Gadhchiroli","07132"
"Gadhinglaj","02327"
"Gadwal","08546"
"Gaganbavada","02326"
"Gairatganj","07481"
"Gajapathinagaram","08965"
"Gajwel","08454"
"Gandhi Nagar","02712"
"Gangajalghati","03241"
"Gangakhed","02453"
"Gangapur","02433"
"Gangapur","07463"
"Gangarampur","03521"
"Gangdhar","07435"
"Gangtok","03592"
"Ganjbasoda","07594"
"Garauth","05171"
"Garhashanker","01884"
"Garhmukteshwar","05731"
"Garhwa","06561"
"Gariaband","07706"
"Gariadhar","02843"
"Garladinne","08551"
"Garoth","07425"
"Garpa","07846"
"Garu","06569"
"Gauzing","03595"
"Gaya","0631"
"Gerhi","02963"
"Gevrai","02447"
"Ghaghra","06523"
"Ghansour","07693"
"Gharaunda","01748"
"Gharghoda","07767"
"Ghatal","03225"
"Ghatampur","05115"
"Ghatanji","07230"
"Ghatgaon","06733"
"Ghatia","07368"
"Ghatigaon","07526"
"Ghatol","02961"
"Ghatsila","06585"
"Ghaziabad+Dadri","0120"
"Ghazipur","0548"
"Ghorandogri","07146"
"Ghosi","05461"
"Ghughari","07647"
"Giddalur","08405"
"Gingee","04145"
"Giridih","06532"
"Girwa","0294"
"Goalpara","03663"
"Gobichettipalayam","04285"
"Godda","06422"
"Godhra","02672"
"Gogaon","07287"
"Gogodar","02806"
"Gogri","06245"
"Gogunda","07865"
"Gogunda","02956"
"Gohad","07539"
"Gohana","01263"
"Goharganj","07480"
"Gohpur","03715"
"Goindwal","01859"
"Golaghat","03774"
"Golegaon","02439"
"Gomia","06544"
"Gonda","05262"
"Gondal","02825"
"Gondia","07182"
"Gondpipri","07171"
"Gooty","08552"
"Gopalganj","06156"
"Gopalganj","07695"
"Gorakhpur","0551"
"Goregaon","07187"
"Gotegaon","07794"
"Gourihar","07688"
"Govindpur","06540"
"Gudalur","04262"
"Gudari","06862"
"Gudivada","08674"
"Gudiyatham","04171"
"Gudur","08525"
"Gudur","08624"
"Guhagar","02359"
"Gumla","06524"
"Guna","07542"
"Gunnaur","05836"
"Gunnore","07731"
"Guntur","0863"
"Gunupur","06857"
"Gurdaspur","01874"
"Gurgaon","0124"
"Guruharsahai","01685"
"Guskara","03452"
"Guwahati","0361"
"Gwalior","0751"
"Gyraspur","07596"
"H.Kharagpur","06342"
"Habra","03216"
"Hadgaon","02468"
"Haidergarh","05244"
"Hailakandi","03844"
"Hajipur","06224"
"Hajo","03664"
"Haldia","03224"
"Haldwani-I","05946"
"Haldwani-Ii","05945"
"Halflong","03673"
"Halol","02676"
"Halvad","02758"
"Hamirpur","01972"
"Hamirpur","05282"
"Hansi","01663"
"Hanumana","07664"
"Hanumangarh","01552"
"Hapur","0122"
"Harapanahalli","08398"
"Harda","07577"
"Hardoi-I","05852"
"Hardoi-Ii","05850"
"Harij","02733"
"Harirampur","03524"
"Harishchandrapur","03513"
"Harrai","07168"
"Harraiya","05546"
"Harsud","07327"
"Harur","04346"
"Hasanganj","05143"
"Hasanpur","05924"
"Hassan","08172"
"Hathras","05722"
"Hathua","06150"
"Hatkangale","02324"
"Hatta","07604"
"Haveri","08375"
"Hayuliang","03805"
"Hazaribagh","06546"
"Hebri","08253"
"Hemgiri","06621"
"Hilsa","06111"
"Himatnagar","02772"
"Hindaun","07469"
"Hindol","06732"
"Hindoli","07436"
"Hindupur","08556"
"Hinganghat","07153"
"Hingoli","02456"
"Hingua","07104"
"Hirekerur","08376"
"Hiriyur","08193"
"Hissar","01662"
"Hojai","03674"
"Holalkere","08191"
"Holenarsipur","08175"
"Honnali","08188"
"Honnavar","08387"
"Hosadurga","08199"
"Hosakote","08111"
"Hosanagara","08185"
"Hoshangabad","07574"
"Hoshiarpur","01882"
"Hospet","08394"
"Hosur","04344"
"Howraghat","03676"
"Hubli","0836"
"Hukkeri","08333"
"Humnabad","08483"
"Hungund","08351"
"Hunsabad","08721"
"Hunsagi","08444"
"Hunsur","08222"
"Hunterganj","06550"
"Hurda","01483"
"Huri","03789"
"Huvinahadagali","08399"
"Huzurabad","08727"
"Huzurnagar","08683"
"Hyderabad East","08415"
"Hyderabad Local","040"
"Hyderabad West","08413"
"Ibrahimpatnam","08414"
"Ichak","06548"
"Ichhawar","07561"
"Idar","02778"
"Igatpuri","02553"
"Ilamidi","07854"
"Imamganj","06331"
"Imphal","0385"
"Indapur","02111"
"Indi","08359"
